First Name;Family Name;Country;Room Type;Days Rented;Season;Price;Id
Chen;Nguyen;Russia;Suite;9;mid;25992;474
Ingrid;Garcia;South Korea;Standard Double;8;low;12120;475
Maria;Johansson;India;Standard Single;6;mid;7464;476
Sara;Brown;Mexico;LOFT Suite;8;high;30096;477
Hiroshi;Lee;Mexico;Spa Executive;5;high;13820;478
Maria;Garcia;Germany;LOFT Suite;4;mid;13296;479
Elena;Nguyen;India;Suite;1;low;2717;480
Muhammad;Garcia;Brazil;LOFT Suite;2;high;7670;481
David;Sato;Spain;Standard Single;3;mid;3753;482
Aisha;Khan;Italy;LOFT Suite;2;mid;7190;483
Santiago;Hassan;Sweden;Standard Single;1;high;1387;484
Zhang;Olsen;France;Spa Executive;2;mid;4792;485
Maria;Lee;France;Grand Lit;5;low;5715;486
Olivia;Lee;Nigeria;Standard Double;3;low;3951;487
Chen;Nguyen;France;Grand Lit;3;low;3933;488
Sara;Johansson;Mexico;LOFT Suite;4;high;15188;489
Aisha;Müller;Pakistan;Spa Executive;9;low;18675;490
Ahmed;Brown;South Korea;Grand Lit;10;low;12310;491
Lucas;Silva;Canada;Standard Single;3;low;2808;492
Olivia;Patel;Australia;Standard Single;4;low;4140;493
Olivia;Garcia;France;LOFT Suite;4;low;13784;494
Elena;Rossi;Nigeria;Spa Executive;10;high;26530;495
Aisha;Brown;India;Superior Double;8;low;12504;496
Chen;Silva;Sweden;Junior Suite;8;high;19576;497
Ahmed;Olsen;United Kingdom;LOFT Suite;3;high;10515;498
Liam;Patel;Nigeria;Junior Suite;6;low;11712;499
Chen;Rossi;India;LOFT Suite;5;low;15530;500
Lucas;Olsen;Australia;Superior Double;7;low;10311;501
Elena;Olsen;Vietnam;Standard Single;6;high;7326;502
Santiago;Brown;Italy;Superior Double;4;mid;7032;503
Isabella;Dubois;Spain;Junior Suite;1;high;2397;504
Maria;Kim;Nigeria;Spa Executive;8;low;16376;505
Santiago;Kim;Canada;Standard Single;9;low;8280;506
Ahmed;Yamamoto;Nigeria;Spa Executive;1;high;2597;507
John;Johansson;Brazil;Junior Suite;6;high;14706;508
Hiroshi;Brown;Spain;Standard Double;10;high;17770;509
Chen;Müller;United States;Suite;1;low;2610;510
John;Ivanov;South Korea;Junior Suite;10;low;20590;511
Zhang;Yamamoto;South Korea;LOFT Suite;5;high;19275;512
Sophia;Smith;United Kingdom;Spa Executive;8;high;20560;513
Lucas;Brown;Australia;Spa Executive;5;mid;11830;514
David;Nguyen;Japan;Standard Single;7;high;9051;515
Santiago;Johansson;Vietnam;LOFT Suite;8;high;28144;516
Muhammad;Martinez;Sweden;Suite;10;low;25470;517
David;Rossi;Russia;Standard Single;3;mid;3021;518
Isabella;Rossi;Vietnam;Suite;10;low;29370;519
Carlos;Ivanov;India;Standard Double;3;mid;5031;520
Sara;Sato;Canada;Suite;10;low;27750;521
Ahmed;Dubois;United Kingdom;Junior Suite;4;low;8692;522
Fatima;Smith;France;Grand Lit;2;low;2606;523
Chen;Brown;China;Spa Executive;5;low;11150;524
Fatima;Yamamoto;India;Superior Double;8;low;12864;525
Hiroshi;Lee;Mexico;Junior Suite;3;mid;6633;526
Santiago;Brown;Mexico;Spa Executive;3;mid;7404;527
Isabella;Lee;Germany;Spa Executive;9;low;20295;528
Fatima;Sato;Sweden;LOFT Suite;10;high;39450;529
Sophia;Dubois;Brazil;Suite;7;low;19558;530
Sara;Kim;United Kingdom;Suite;8;high;24032;531
Isabella;Johansson;Australia;Standard Double;1;high;1838;532
John;Brown;Egypt;Suite;3;mid;9603;533
Hiroshi;Olsen;Nigeria;Spa Executive;5;high;12720;534
Aisha;Olsen;Mexico;Suite;5;high;16845;535
Sara;Smith;Italy;LOFT Suite;4;high;14504;536
Zhang;Kim;United Kingdom;Spa Executive;10;low;20280;537
Elena;Johansson;India;Superior Double;5;high;10005;538
Aisha;Khan;Spain;Junior Suite;8;mid;18696;539
Ahmed;Dubois;Canada;Superior Double;5;high;10260;540
Hiroshi;Kim;Italy;Standard Single;6;mid;6156;541
Sophia;Dubois;Nigeria;Superior Double;3;mid;5748;542
Carlos;Sato;Spain;Spa Executive;7;low;16646;543
Sophia;Brown;Sweden;Grand Lit;6;low;6828;544
Santiago;Müller;United States;Junior Suite;8;high;19048;545
Ahmed;Patel;United States;Standard Single;2;mid;2206;546
Sara;Schneider;India;Standard Single;8;high;10096;547
David;Dubois;Russia;LOFT Suite;6;mid;22218;548
Hiroshi;Silva;Canada;LOFT Suite;7;low;24241;549
Ahmed;Garcia;Australia;Spa Executive;8;high;21496;550
Sara;Nguyen;Japan;Standard Single;5;high;6415;551
Maria;Müller;Canada;Junior Suite;9;high;21150;552
Ahmed;Olsen;Sweden;Standard Double;4;high;7420;553
Ahmed;Yamamoto;United Kingdom;Grand Lit;7;mid;8624;554
John;Patel;Brazil;Superior Double;2;mid;3994;555
Carlos;Schneider;Pakistan;LOFT Suite;9;low;27729;556
Chen;Johansson;India;LOFT Suite;3;low;9027;557
Maria;Ivanov;Vietnam;Superior Double;6;low;10746;558
Carlos;Lee;Nigeria;Suite;8;low;22160;559
David;Rossi;Egypt;Superior Double;2;high;4082;560
John;Silva;Germany;Standard Double;3;high;5817;561
Muhammad;Garcia;South Korea;Junior Suite;3;high;7149;562
Olivia;Lee;Spain;Suite;3;high;9171;563
Lucas;Lee;Japan;Superior Double;3;high;5907;564
Sophia;Sato;United States;Standard Double;8;mid;10464;565
Lucas;Müller;Egypt;Standard Double;8;low;12240;566
Lucas;Nguyen;South Korea;Suite;10;mid;31110;567
Olivia;Schneider;Australia;Standard Double;7;mid;10584;568
John;Yamamoto;South Korea;Spa Executive;4;mid;9000;569
Maria;Garcia;Brazil;Spa Executive;7;high;19446;570
Fatima;Martinez;Sweden;Standard Single;4;mid;4688;571
Chen;Johansson;France;Spa Executive;4;mid;9844;572
Zhang;Kim;United States;Standard Double;1;high;1936;573
Liam;Brown;Mexico;Suite;10;high;31530;574
Lucas;Nguyen;Vietnam;Superior Double;9;mid;17424;575
Ingrid;Lee;Germany;Standard Double;9;low;11871;576
Olivia;Johansson;South Korea;Standard Double;8;low;11552;577
Isabella;Brown;Brazil;Standard Single;1;high;1434;578
Fatima;Smith;China;LOFT Suite;5;mid;17655;579
Elena;Hassan;Spain;Suite;2;low;5816;580
Zhang;Schneider;Japan;Standard Double;9;mid;13500;581
Liam;Yamamoto;Spain;Standard Single;4;high;5756;582
John;Lee;Canada;Standard Double;5;high;8245;583
Aisha;Lee;Sweden;Standard Single;4;mid;4208;584
David;Nguyen;Vietnam;LOFT Suite;3;high;11844;585
Hiroshi;Lee;Russia;Spa Executive;3;mid;7020;586
Ahmed;Rossi;South Korea;Standard Single;8;low;8160;587
Sophia;Müller;China;Standard Single;10;low;9240;588
Carlos;Dubois;Canada;Suite;6;low;17916;589
Fatima;Martinez;Pakistan;Junior Suite;9;high;22176;590
David;Garcia;Germany;Spa Executive;10;mid;24560;591
John;Lee;Australia;Superior Double;9;mid;14229;592
Liam;Yamamoto;India;Junior Suite;1;low;1886;593
Carlos;Dubois;United States;Superior Double;4;high;7740;594
Muhammad;Patel;Canada;Standard Single;3;mid;3027;595
Hiroshi;Nguyen;Australia;Spa Executive;7;high;18417;596
Liam;Kim;India;Grand Lit;4;high;6060;597
John;Nguyen;Germany;Standard Single;2;low;2212;598
David;Sato;United States;Junior Suite;4;mid;8640;599
Elena;Dubois;Italy;LOFT Suite;2;low;6712;600
Liam;Silva;Spain;Spa Executive;10;mid;24170;601
Muhammad;Khan;United Kingdom;Grand Lit;9;low;10008;602
Olivia;Nguyen;Brazil;Standard Double;8;mid;11208;603
Maria;Garcia;Sweden;Superior Double;6;high;11496;604
Fatima;Müller;Germany;Superior Double;4;high;7824;605
Sara;Rossi;Vietnam;Junior Suite;9;mid;18594;606
Carlos;Dubois;China;Junior Suite;5;mid;10475;607
Elena;Yamamoto;India;Standard Single;2;mid;2596;608
Aisha;Lee;Canada;LOFT Suite;1;high;3739;609
Ingrid;Brown;Vietnam;Grand Lit;7;mid;10724;610
Ingrid;Johansson;France;Suite;7;low;19432;611
Muhammad;Sato;Vietnam;Standard Single;6;low;6660;612
Ingrid;Rossi;Sweden;Suite;3;high;9555;613
Chen;Dubois;Russia;LOFT Suite;1;high;3598;614
Santiago;Sato;Russia;Superior Double;7;low;10052;615
Lucas;Nguyen;Pakistan;Grand Lit;5;mid;6090;616
Santiago;Schneider;United States;Grand Lit;2;low;2384;617
Aisha;Patel;Vietnam;Suite;9;low;23958;618
Sara;Garcia;China;Suite;2;mid;6172;619
Maria;Nguyen;Russia;Standard Single;8;mid;8152;620
Muhammad;Smith;Sweden;Suite;7;high;23541;621
David;Schneider;Russia;Standard Double;9;high;15084;622
Fatima;Smith;United Kingdom;Spa Executive;7;mid;16576;623
Chen;Olsen;France;Junior Suite;4;mid;8784;624
Elena;Khan;Russia;LOFT Suite;1;low;3094;625
Zhang;Müller;South Korea;Suite;9;high;27072;626
Elena;Silva;Mexico;LOFT Suite;6;high;22974;627
Santiago;Dubois;China;Grand Lit;7;high;11004;628
Muhammad;Kim;Italy;Superior Double;10;high;21110;629
Isabella;Khan;Brazil;Superior Double;3;high;5721;630
Carlos;Silva;Vietnam;LOFT Suite;2;low;6208;631
Chen;Yamamoto;India;Standard Double;8;low;11544;632
Ahmed;Lee;India;Standard Double;4;low;6356;633
Ahmed;Martinez;Vietnam;Grand Lit;1;high;1441;634
Olivia;Yamamoto;Russia;Grand Lit;9;low;10629;635
Ingrid;Rossi;Spain;Suite;4;high;13932;636
Santiago;Johansson;South Korea;Grand Lit;4;high;6444;637
Liam;Khan;Russia;Standard Single;9;high;11610;638
Sara;Smith;Sweden;LOFT Suite;1;mid;3357;639
Isabella;Olsen;Germany;Standard Double;7;low;10514;640
Sara;Dubois;Sweden;LOFT Suite;9;mid;29547;641
Muhammad;Sato;France;Superior Double;4;high;8256;642
Hiroshi;Olsen;Sweden;Suite;2;low;5198;643
Ingrid;Olsen;South Korea;Standard Single;10;mid;11520;644
Olivia;Silva;Sweden;LOFT Suite;2;high;7506;645
Liam;Johansson;South Korea;Spa Executive;4;high;10696;646
Chen;Lee;United Kingdom;Standard Double;6;low;8592;647
Ahmed;Martinez;Brazil;Superior Double;2;high;3926;648
Elena;Martinez;United States;Junior Suite;8;low;16344;649
Hiroshi;Garcia;India;LOFT Suite;6;mid;22596;650
Hiroshi;Hassan;France;LOFT Suite;9;mid;29286;651
Hiroshi;Schneider;India;Junior Suite;4;low;8004;652
Maria;Olsen;Canada;Junior Suite;8;mid;16392;653
Elena;Lee;Egypt;Suite;5;mid;14425;654
Olivia;Olsen;Spain;Standard Single;10;low;11160;655
Hiroshi;Garcia;United States;Spa Executive;2;low;4926;656
Aisha;Müller;Spain;Suite;7;low;20531;657
Muhammad;Brown;Germany;Standard Double;8;high;13496;658
Maria;Brown;China;Junior Suite;10;low;20140;659
Liam;Garcia;South Korea;Grand Lit;5;mid;7570;660
Zhang;Lee;China;Superior Double;6;mid;9066;661
Ingrid;Sato;France;Spa Executive;1;low;2087;662
Elena;Kim;Mexico;Suite;3;low;7560;663
Aisha;Patel;United Kingdom;Grand Lit;8;high;12872;664
Lucas;Schneider;South Korea;LOFT Suite;2;high;7062;665
John;Khan;France;Standard Single;2;high;2608;666
Santiago;Kim;Canada;Standard Single;9;low;9531;667
Hiroshi;Schneider;United States;Standard Double;9;low;11070;668
Liam;Khan;Mexico;Spa Executive;1;mid;2446;669
Carlos;Martinez;Australia;Spa Executive;4;low;9288;670
Aisha;Hassan;China;Superior Double;9;mid;15291;671
Lucas;Garcia;Spain;Suite;4;low;10792;672
Santiago;Olsen;Germany;Suite;2;mid;6452;673
Ahmed;Johansson;Australia;Spa Executive;6;mid;14532;674
John;Sato;France;Superior Double;8;low;14120;675
Fatima;Silva;Spain;Junior Suite;6;mid;13854;676
Hiroshi;Patel;France;Junior Suite;9;mid;20268;677
Carlos;Dubois;South Korea;Spa Executive;5;mid;11860;678
Fatima;Garcia;South Korea;Suite;8;mid;22616;679
Chen;Kim;Nigeria;Spa Executive;8;high;21816;680
Ahmed;Johansson;Nigeria;Spa Executive;9;high;22581;681
John;Dubois;Germany;Standard Single;10;mid;11000;682
David;Schneider;United Kingdom;Junior Suite;7;mid;15708;683
Liam;Ivanov;Pakistan;Grand Lit;3;low;3885;684
Santiago;Lee;Japan;Junior Suite;8;high;18088;685
John;Sato;Vietnam;Grand Lit;2;low;2288;686
Maria;Nguyen;France;Superior Double;6;high;11022;687
Lucas;Silva;France;LOFT Suite;10;mid;36090;688
Isabella;Müller;Nigeria;Spa Executive;6;low;12840;689
Sara;Schneider;South Korea;Standard Double;8;low;12368;690
Ahmed;Kim;Japan;Suite;2;high;6496;691
Hiroshi;Khan;Brazil;Junior Suite;4;high;9264;692
Ingrid;Olsen;Germany;Grand Lit;5;high;7430;693
Zhang;Hassan;Italy;Spa Executive;8;high;20624;694
Fatima;Schneider;Russia;Standard Double;5;low;6360;695
Zhang;Kim;United Kingdom;Superior Double;10;low;15410;696
Muhammad;Sato;United Kingdom;Superior Double;7;mid;13832;697
Lucas;Khan;Sweden;Spa Executive;1;low;2102;698
Hiroshi;Khan;France;Superior Double;8;low;11976;699
Sophia;Schneider;United Kingdom;Junior Suite;10;mid;21370;700
Zhang;Schneider;Japan;Grand Lit;10;low;12490;701
Lucas;Johansson;Canada;Junior Suite;1;mid;2260;702
Maria;Garcia;Sweden;Spa Executive;7;high;18284;703
Santiago;Khan;Italy;Spa Executive;7;mid;16163;704
Fatima;Dubois;Italy;Superior Double;8;low;14248;705
Fatima;Hassan;Egypt;Standard Double;9;high;15885;706
Zhang;Schneider;Germany;LOFT Suite;4;low;13108;707
Santiago;Kim;Brazil;Suite;3;mid;9030;708
Sophia;Patel;India;Standard Single;9;mid;10278;709
Ingrid;Müller;Mexico;Suite;6;low;15564;710
Muhammad;Patel;Italy;Spa Executive;6;high;16326;711
Lucas;Garcia;Egypt;Standard Double;2;low;2646;712
Lucas;Lee;Italy;Superior Double;5;mid;7845;713
Maria;Garcia;Russia;Suite;2;high;6592;714
Fatima;Patel;Brazil;Junior Suite;6;mid;14322;715
Olivia;Müller;Russia;Junior Suite;2;mid;4028;716
Ingrid;Nguyen;Pakistan;Grand Lit;8;high;14224;717
Maria;Smith;Spain;LOFT Suite;8;high;28600;718
Olivia;Silva;France;Suite;10;low;29710;719
Ingrid;Dubois;South Korea;Standard Single;7;low;6902;720
Olivia;Lee;Pakistan;Standard Single;6;mid;6966;721
John;Hassan;Nigeria;Superior Double;1;low;1615;722
Lucas;Smith;United States;Superior Double;2;mid;3566;723
Liam;Yamamoto;United Kingdom;Grand Lit;1;high;1772;724
Aisha;Martinez;China;Grand Lit;7;low;8883;725
David;Lee;Australia;Junior Suite;9;high;20925;726
Ahmed;Olsen;United Kingdom;Standard Double;10;mid;14690;727
Isabella;Smith;Germany;Standard Double;4;low;5556;728
Ingrid;Yamamoto;Brazil;Suite;9;mid;27738;729
Ahmed;Schneider;Sweden;Junior Suite;7;low;14091;730
Olivia;Johansson;France;Superior Double;5;mid;9055;731
Liam;Sato;Italy;Superior Double;7;mid;13272;732
Liam;Patel;United States;Standard Double;3;low;4359;733
Sara;Johansson;Germany;Standard Double;10;mid;16540;734
Maria;Garcia;Canada;LOFT Suite;2;high;7188;735
Olivia;Silva;United Kingdom;Spa Executive;2;low;4992;736
Elena;Sato;India;LOFT Suite;6;low;19608;737
Hiroshi;Müller;China;Superior Double;4;high;7228;738
Carlos;Silva;Egypt;Junior Suite;9;high;21285;739
John;Kim;Japan;Junior Suite;2;high;4780;740
Olivia;Schneider;Australia;Standard Single;8;low;9360;741
Ingrid;Ivanov;United Kingdom;Spa Executive;3;low;6552;742
John;Olsen;Sweden;Grand Lit;9;high;13050;743
Santiago;Johansson;Italy;Standard Double;10;high;18920;744
Sophia;Sato;Canada;Standard Double;6;mid;9276;745
Zhang;Garcia;Egypt;Junior Suite;1;high;2257;746
Santiago;Olsen;South Korea;Standard Double;5;low;7565;747
Lucas;Rossi;France;LOFT Suite;2;high;7522;748
Sara;Smith;South Korea;Grand Lit;5;mid;6395;749
Ahmed;Rossi;Vietnam;Suite;1;mid;3217;750
Lucas;Johansson;United Kingdom;LOFT Suite;1;low;3245;751
John;Nguyen;Mexico;Suite;1;low;2951;752
Isabella;Khan;Mexico;Standard Double;1;low;1575;753
Ahmed;Ivanov;United States;Standard Double;6;high;10230;754
Ingrid;Silva;Russia;Standard Single;8;high;11672;755
David;Brown;United States;Spa Executive;9;mid;23229;756
Lucas;Hassan;Canada;Junior Suite;5;high;11940;757
Isabella;Khan;India;Junior Suite;3;mid;6489;758
Hiroshi;Yamamoto;United States;Superior Double;2;mid;3194;759
Isabella;Müller;Vietnam;Standard Double;1;mid;1311;760
Ingrid;Rossi;Australia;Spa Executive;8;mid;19584;761
Olivia;Sato;Pakistan;Standard Double;6;high;11442;762
Liam;Johansson;Egypt;Grand Lit;9;low;10089;763
Sophia;Johansson;United Kingdom;LOFT Suite;9;high;33300;764
Hiroshi;Johansson;Nigeria;Superior Double;7;low;11725;765
Lucas;Kim;Sweden;Standard Single;6;low;6138;766
David;Brown;South Korea;Standard Double;3;high;5832;767
John;Martinez;Germany;Junior Suite;5;high;12385;768
John;Müller;Italy;Suite;10;low;29760;769
David;Dubois;Japan;Suite;2;high;6068;770
Ingrid;Hassan;Russia;Suite;10;low;26130;771
Aisha;Olsen;Sweden;Superior Double;2;high;4198;772
Muhammad;Schneider;Pakistan;Suite;3;low;7917;773
Santiago;Dubois;Italy;Standard Single;10;high;12450;774
Sara;Patel;Spain;LOFT Suite;3;high;11067;775
Santiago;Rossi;Russia;Spa Executive;6;low;14898;776
John;Rossi;Brazil;Spa Executive;6;mid;14118;777
Sara;Olsen;South Korea;Junior Suite;4;mid;9340;778
Elena;Yamamoto;Germany;Standard Double;4;mid;6384;779
Maria;Yamamoto;Spain;Superior Double;10;low;15490;780
Hiroshi;Dubois;Nigeria;Suite;2;low;5690;781
Fatima;Martinez;France;Superior Double;2;low;3568;782
Sophia;Smith;Russia;Suite;7;low;17717;783
Ingrid;Dubois;Russia;Junior Suite;4;high;9248;784
Ahmed;Ivanov;India;Superior Double;10;mid;15820;785
Isabella;Hassan;Germany;Spa Executive;3;mid;7260;786
Ingrid;Yamamoto;Mexico;Standard Double;6;high;10872;787
Muhammad;Sato;Russia;Junior Suite;7;low;14616;788
Elena;Kim;Italy;Junior Suite;6;mid;12618;789
Liam;Müller;Italy;Standard Single;4;high;5184;790
Santiago;Schneider;Egypt;Suite;1;mid;2933;791
Lucas;Hassan;Spain;Junior Suite;4;mid;8880;792
Elena;Garcia;South Korea;Spa Executive;10;high;25820;793
Sophia;Rossi;France;Grand Lit;2;mid;3160;794
Ahmed;Silva;China;Standard Single;8;low;9256;795
Carlos;Nguyen;United Kingdom;Standard Single;10;high;13990;796
Hiroshi;Johansson;Japan;Superior Double;10;low;17310;797
Ahmed;Schneider;Sweden;Suite;3;low;7704;798
Muhammad;Brown;Italy;Spa Executive;8;mid;19832;799
Sophia;Martinez;Brazil;Spa Executive;5;mid;11875;800
Hiroshi;Müller;Australia;Standard Single;3;high;4449;801
Ahmed;Müller;France;Spa Executive;2;mid;5182;802
John;Martinez;Italy;Standard Single;4;low;3648;803
Aisha;Schneider;United Kingdom;Junior Suite;2;mid;4180;804
Fatima;Dubois;Vietnam;Junior Suite;3;mid;7116;805
Zhang;Kim;Australia;Spa Executive;6;low;14580;806
Isabella;Rossi;China;LOFT Suite;2;high;7992;807
Santiago;Martinez;China;Spa Executive;3;low;6156;808
David;Smith;Italy;Junior Suite;7;mid;14644;809
Olivia;Hassan;Brazil;Junior Suite;3;low;6510;810
Sophia;Silva;Mexico;Grand Lit;10;mid;14090;811
Fatima;Yamamoto;Australia;Junior Suite;2;high;4708;812
Lucas;Smith;Japan;Spa Executive;4;mid;8948;813
Fatima;Lee;India;Superior Double;5;high;10880;814
Sophia;Dubois;India;Standard Double;6;mid;9084;815
Santiago;Lee;Brazil;Junior Suite;4;low;7824;816
Olivia;Smith;United Kingdom;Suite;10;high;33550;817
Carlos;Martinez;Brazil;Junior Suite;2;low;4028;818
Ahmed;Dubois;France;Suite;1;low;2860;819
Zhang;Hassan;China;Grand Lit;8;low;9064;820
Hiroshi;Brown;Mexico;Standard Double;4;low;5252;821
Muhammad;Nguyen;France;Standard Single;2;mid;2454;822
Hiroshi;Hassan;Egypt;Standard Single;4;mid;5076;823
Maria;Ivanov;Nigeria;Grand Lit;2;high;3570;824
Olivia;Lee;Brazil;Spa Executive;4;mid;9668;825
Olivia;Schneider;France;Suite;2;mid;6586;826
Carlos;Sato;China;LOFT Suite;6;mid;21186;827
Sara;Olsen;Russia;Suite;6;low;17136;828
Ingrid;Müller;United States;Grand Lit;1;high;1660;829
John;Dubois;India;Superior Double;9;mid;16461;830
Sara;Khan;Pakistan;Standard Single;7;mid;7707;831
Isabella;Schneider;Brazil;Standard Double;6;mid;9864;832
Carlos;Hassan;Pakistan;LOFT Suite;10;mid;34080;833
Santiago;Yamamoto;United Kingdom;Suite;4;mid;12280;834
Muhammad;Nguyen;United States;Grand Lit;3;low;4143;835
Carlos;Sato;Pakistan;Spa Executive;1;low;2088;836
Sara;Nguyen;France;Superior Double;6;low;10626;837
David;Brown;Mexico;Grand Lit;9;mid;13923;838
Chen;Rossi;Italy;Suite;7;mid;21378;839
Sophia;Nguyen;Italy;LOFT Suite;10;high;36450;840
Muhammad;Müller;Vietnam;Superior Double;9;high;17739;841
John;Brown;China;Standard Single;4;mid;4600;842
Ingrid;Garcia;Canada;LOFT Suite;5;high;19675;843
Maria;Müller;Brazil;Spa Executive;3;mid;7398;844
Elena;Johansson;South Korea;LOFT Suite;2;mid;6684;845
Lucas;Martinez;Sweden;Superior Double;9;low;13752;846
Sara;Garcia;Russia;Spa Executive;1;mid;2208;847
David;Patel;India;Grand Lit;1;high;1752;848
Ingrid;Sato;Germany;Junior Suite;2;mid;4304;849
Aisha;Dubois;Mexico;Standard Double;7;high;11795;850
Lucas;Ivanov;United Kingdom;Spa Executive;7;high;18977;851
Ahmed;Patel;Vietnam;Superior Double;10;high;18950;852
Lucas;Schneider;France;Superior Double;6;high;11022;853
Aisha;Patel;Spain;LOFT Suite;3;mid;10668;854
Ingrid;Ivanov;Canada;Suite;5;low;14450;855
Isabella;Hassan;India;Suite;5;high;16170;856
Ahmed;Lee;Vietnam;LOFT Suite;3;mid;10359;857
Isabella;Johansson;Russia;LOFT Suite;3;mid;10506;858
Elena;Sato;Sweden;Standard Double;3;low;4455;859
David;Khan;India;Standard Single;5;mid;6030;860
Zhang;Olsen;Germany;Spa Executive;5;mid;11365;861
Hiroshi;Schneider;South Korea;Spa Executive;5;high;12805;862
Aisha;Müller;India;Superior Double;7;high;14378;863
Aisha;Johansson;Nigeria;LOFT Suite;1;low;3245;864
Hiroshi;Silva;France;Spa Executive;8;mid;20448;865
Zhang;Silva;Mexico;Standard Double;4;high;7892;866
Olivia;Ivanov;Vietnam;Junior Suite;4;high;9708;867
John;Dubois;Mexico;LOFT Suite;10;mid;34480;868
Liam;Martinez;Vietnam;Standard Double;10;low;13450;869
Olivia;Brown;Egypt;Standard Single;1;high;1498;870
Muhammad;Martinez;Nigeria;Suite;6;high;19554;871
Lucas;Khan;Germany;Grand Lit;5;mid;7760;872
Olivia;Khan;India;Junior Suite;10;mid;23600;873
Ahmed;Johansson;Australia;Spa Executive;1;low;2102;874
Aisha;Martinez;China;Superior Double;8;high;15440;875
Fatima;Olsen;Spain;Junior Suite;9;high;20943;876
Zhang;Garcia;Russia;Superior Double;7;high;12740;877
Liam;Garcia;Brazil;Suite;10;high;34110;878
Olivia;Ivanov;Mexico;Junior Suite;5;high;11220;879
Elena;Sato;United Kingdom;Junior Suite;9;mid;19548;880
Hiroshi;Olsen;Brazil;Junior Suite;8;low;17016;881
Santiago;Sato;Brazil;Superior Double;5;high;10945;882
David;Smith;United States;Grand Lit;6;low;7284;883
Zhang;Garcia;Australia;Superior Double;8;mid;13608;884
John;Khan;Japan;Suite;9;high;30411;885
Sara;Lee;South Korea;Standard Single;6;high;8448;886
Ahmed;Garcia;South Korea;Superior Double;4;high;7308;887
Hiroshi;Johansson;Vietnam;Spa Executive;6;mid;15096;888
Lucas;Olsen;United Kingdom;Standard Single;7;high;9898;889
Liam;Hassan;Spain;Spa Executive;3;low;6546;890
Sara;Müller;China;Standard Single;1;high;1218;891
Liam;Garcia;Russia;Grand Lit;7;mid;9359;892
Elena;Khan;Italy;Standard Double;8;mid;10504;893
Liam;Rossi;India;Standard Double;10;low;14050;894
Carlos;Ivanov;Germany;Junior Suite;1;mid;2210;895
Chen;Rossi;Russia;Standard Single;3;mid;3252;896
Olivia;Garcia;Germany;Spa Executive;3;mid;7482;897
Zhang;Dubois;Pakistan;Junior Suite;6;high;14508;898
Isabella;Lee;South Korea;Superior Double;6;high;11892;899
Ahmed;Sato;Canada;Spa Executive;9;high;24867;900
Chen;Nguyen;Pakistan;Junior Suite;6;low;10986;901
David;Brown;Pakistan;Spa Executive;1;low;2109;902
Zhang;Nguyen;United Kingdom;Standard Double;6;low;8814;903
Sara;Nguyen;France;Suite;3;high;9456;904
Olivia;Khan;Australia;Suite;1;high;3324;905
Zhang;Sato;France;LOFT Suite;3;mid;10404;906
Elena;Garcia;Mexico;Grand Lit;6;high;9216;907
Olivia;Brown;India;Suite;2;high;6922;908
David;Dubois;Spain;Suite;4;high;12696;909
John;Kim;Brazil;Standard Double;1;low;1479;910
Hiroshi;Kim;Canada;Suite;3;high;9210;911
Zhang;Schneider;Nigeria;Grand Lit;4;low;5244;912
Carlos;Brown;France;Suite;4;low;11428;913
Liam;Rossi;United Kingdom;Junior Suite;1;high;2220;914
Zhang;Martinez;Sweden;Superior Double;2;low;3484;915
Sara;Nguyen;Sweden;Grand Lit;10;high;14520;916
Zhang;Kim;Russia;Spa Executive;7;low;16128;917
Aisha;Martinez;South Korea;Spa Executive;4;low;8768;918
Liam;Khan;United States;Suite;5;high;16015;919
Santiago;Rossi;Sweden;Junior Suite;10;mid;21350;920
Carlos;Silva;Sweden;Grand Lit;7;high;10535;921
Chen;Brown;China;Spa Executive;9;high;23553;922
Hiroshi;Martinez;Spain;Grand Lit;1;mid;1210;923
Maria;Garcia;Italy;Grand Lit;7;mid;9408;924
Sophia;Brown;United Kingdom;Junior Suite;3;high;6816;925
Olivia;Martinez;Japan;Spa Executive;8;mid;19192;926
Ingrid;Smith;Canada;Grand Lit;6;mid;9576;927
Olivia;Ivanov;Australia;Spa Executive;6;high;15582;928
Sara;Müller;Spain;Superior Double;4;low;6912;929
Santiago;Rossi;Russia;Standard Single;1;high;1311;930
Sara;Patel;Spain;Suite;4;mid;13176;931
Chen;Garcia;Japan;Spa Executive;1;low;2095;932
Hiroshi;Sato;China;Junior Suite;3;low;5733;933
Sara;Rossi;China;Spa Executive;10;high;25490;934
Aisha;Lee;Egypt;Spa Executive;10;mid;22210;935
Ahmed;Martinez;Russia;Standard Double;7;low;10549;936
Sara;Lee;Brazil;Superior Double;9;mid;16632;937
John;Hassan;United Kingdom;Grand Lit;3;high;4938;938
Sophia;Rossi;Japan;LOFT Suite;7;low;22155;939
Sophia;Sato;Italy;Junior Suite;1;mid;2002;940
Olivia;Yamamoto;Germany;Standard Double;9;low;13158;941
Zhang;Müller;Mexico;Spa Executive;1;high;2588;942
John;Smith;Spain;LOFT Suite;2;low;6102;943
Olivia;Müller;Pakistan;Superior Double;9;high;16929;944
Maria;Hassan;United Kingdom;Suite;6;mid;18684;945
Hiroshi;Ivanov;Italy;Standard Single;3;high;4365;946
Liam;Smith;Australia;Spa Executive;1;mid;2467;947
